q1,q2,q3,q4,q5,q6,x,y,z
-0.21253,-1.0023,1.2217,-0.0017911,0.73973,0,0.121,-0.0262,0.379
-0.27948,0.25862,0.11679,-0.00073818,0.015243,0,0.4251,-0.122,0.478
0.11114,-0.14079,0.81033,-0.0017874,0.21691,0,0.2861,0.0319,0.369
-0.38695,-0.33349,0.89512,0.003076,0.25624,0,0.235,-0.0957,0.391
0.20377,-0.62676,1.0081,-0.0052622,0.3161,0,0.199,0.041,0.415
0.079421,0.4693,-0.39163,0.0017297,-0.11708,0,0.499,0.0397,0.58
0.25143,-0.061407,0.81572,-0.0011531,0.21335,0,0.2831,0.0727,0.3444
0.4588,-0.28337,0.39281,-0.00093134,0.1122,0,0.2713,0.134,0.57
0.1388,-0.047791,0.052086,-6.8255e-07,0.015066,0,0.35791,0.05,0.627
-0.19935,-0.35932,0.19837,0.0012916,0.067039,0,0.2584,-0.0522,0.667
-0.63304,-0.63531,1.0627,0.0065501,0.35642,0,0.157,-0.115,0.395
-0.014931,0.058247,-0.30486,-0.00026331,-0.07637,0,0.35973,-0.00537,0.724
0.41816,-0.11107,0.55706,0.00016861,0.14675,0,0.3038,0.135,0.451
0.54023,-0.063375,0.07645,4.952e-05,0.021704,0,0.3068,0.184,0.623
0.13008,0.52593,0.092569,0.00094653,-0.0051995,0,0.477,0.0624,0.364
0.21476,0.36264,0.24229,0.00097442,0.039832,0,0.4314,0.0941,0.385
-0.19189,-0.2827,0.67519,0.0034432,0.18731,0,0.2854,-0.0554,0.459
-0.47036,-0.25474,0.11961,0.00047201,0.04241,0,0.2616,-0.133,0.668
-0.52043,0.40583,-0.089236,-0.0012004,-0.041371,0,0.4205,-0.241,0.491
0.27175,0.046513,0.60662,0.00051409,0.14952,0,0.3323,0.0926,0.38
-0.11095,-0.10355,0.87252,0.0014837,0.23264,0,0.2749,-0.0306,0.3382
-0.31993,-0.048604,-0.20355,0.0008416,-0.046511,0,0.3139,-0.104,0.724
-0.1863,0.3285,-0.16067,-0.00052588,-0.054698,0,0.46,-0.0867,0.556
-0.10393,0.15165,0.43064,-0.00014003,0.097932,0,0.3854,-0.0402,0.404
0.29464,-0.74551,0.4265,-0.00071075,0.14543,0,0.146,0.0443,0.662
0.5056,-0.081598,0.28223,0.00022531,0.073818,0,0.3125,0.173,0.548
0.13321,0.14838,0.58441,-8.7027e-07,0.1374,0,0.35447,0.0475,0.352
0.32859,-0.38181,0.76967,-0.0045081,0.22032,0,0.2504,0.0853,0.45
-0.42483,-0.54224,0.45352,0.0038728,0.14087,0,0.207,-0.0936,0.614
0.28648,0.16914,-0.39162,-8.2633e-05,-0.10184,0,0.3768,0.111,0.714
-0.13099,0.39726,-0.36871,-0.0013312,-0.10746,0,0.476,-0.0627,0.606
-0.021442,0.51264,-0.045959,-0.00038822,-0.037979,0,0.499,-0.0107,0.422
-0.56566,-0.30824,0.22761,0.00042488,0.071913,0,0.241,-0.153,0.642
-0.27447,0.081439,0.10511,-0.00033089,0.021586,0,0.3871,-0.109,0.557
0.027992,0.55144,-0.19694,0.00070465,-0.076011,0,0.518,0.0145,0.461
-0.60704,0.13385,0.3809,-0.0019628,0.088274,0,0.3225,-0.224,0.429
0.13213,-0.20651,0.87268,-0.00227,0.23978,0,0.2674,0.0355,0.366
0.32266,0.14024,0.47621,0.0014453,0.11073,0,0.35888,0.12,0.392
0.5209,0.16045,-0.21989,-0.00019423,-0.061011,0,0.35729,0.205,0.653
0.11933,-0.0076768,0.71818,-0.0011504,0.18253,0,0.3154,0.0378,0.36
0.29925,0.44498,-0.08404,0.00094433,-0.042448,0,0.47,0.145,0.47
0.38338,0.075823,0.37141,0.0011428,0.088154,0,0.357,0.144,0.455
-0.010644,0.32173,0.35709,-4.0794e-05,0.069895,0,0.4171,-0.00444,0.362
0.22506,0.50124,-0.34405,0.0013234,-0.10655,0,0.498,0.114,0.545
0.46578,-0.13245,0.10384,-4.6241e-05,0.032032,0,0.3004,0.151,0.636
-0.53255,0.22079,0.20543,-0.0013938,0.039388,0,0.3682,-0.217,0.46
0.44203,-0.032784,0.4006,0.0007104,0.10177,0,0.3275,0.155,0.484
0.30056,0.2795,0.28578,0.0012889,0.055255,0,0.4065,0.126,0.405
-0.087611,-0.048141,0.6454,0.0011274,0.16519,0,0.3269,-0.0287,0.398
-0.43291,-0.33272,0.56058,0.0027845,0.15898,0,0.2619,-0.121,0.518
-0.22274,0.37442,-0.16217,-0.00064539,-0.057362,0,0.468,-0.106,0.535
-0.40471,-0.4458,0.72424,0.0055343,0.21197,0,0.236,-0.101,0.484
-0.58629,-0.035793,0.42401,-0.00089191,0.1083,0,0.2996,-0.199,0.476
0.32349,-0.13753,0.93174,-0.00063609,0.25398,0,0.247,0.0828,0.3287
0.39171,-0.38001,0.90753,-0.0037116,0.26354,0,0.228,0.0941,0.398
-0.30601,0.30506,0.020349,-0.00068508,-0.010354,0,0.4368,-0.138,0.495
-0.35584,0.20009,0.15847,-0.00087365,0.028584,0,0.4009,-0.149,0.487
-0.67045,-0.31785,0.68774,0.0023161,0.19532,0,0.222,-0.176,0.464
0.47755,0.031523,0.061165,0.00018841,0.013257,0,0.34396,0.178,0.594
0.28513,0.41048,-0.37977,0.00096133,-0.1104,0,0.464,0.136,0.604
-0.79809,-0.57642,0.67559,0.0056315,0.19867,0,0.16,-0.164,0.535
0.094713,0.19719,-0.38098,0.00099789,-0.10082,0,0.4043,0.0384,0.699
0.088214,0.22353,-0.011517,0.00021807,-0.013973,0,0.4387,0.0388,0.544
0.35557,-0.024236,0.50012,0.00069569,0.12636,0,0.3312,0.123,0.443
