x,y,z
0.33299999999999996,0.0905,0.704
0.4264,0.000592,0.3438
0.25489999999999996,-0.131,0.41100000000000003
0.205,0.0103,0.482
0.504,0.143,0.426
0.4233,0.126,0.599
0.3665,-0.0371,0.351
0.32749999999999996,0.118,0.41400000000000003
0.4422,0.143,0.46799999999999997
0.238,-0.165,0.542
0.427,-0.0457,0.3422
0.43999999999999995,0.0226,0.575
0.31629999999999997,0.0869,0.444
0.2758,-0.206,0.49
0.35979,-0.141,0.5549999999999999
0.11299999999999999,0.0831,0.563
0.3267,0.00849,0.5880000000000001
0.34908999999999996,0.125,0.6599999999999999
0.204,-0.121,0.484
0.4251,-0.0373,0.7150000000000001
0.23399999999999999,0.0702,0.527
0.40909999999999996,0.0228,0.3015
0.415,-0.0207,0.524
0.2869,0.167,0.45599999999999996
0.2698,0.151,0.40700000000000003
0.3766,-0.186,0.46599999999999997
0.238,-0.0915,0.422
0.471,0.145,0.528
0.37339999999999995,-0.108,0.351
0.46399999999999997,-0.0584,0.585
0.476,0.108,0.361
0.33149999999999996,0.133,0.673
0.26959999999999995,-0.0402,0.369
0.40149999999999997,0.0466,0.618
0.28269999999999995,0.0605,0.6859999999999999
0.35989,0.129,0.652
0.2862,0.0162,0.524
0.45099999999999996,-0.09,0.6659999999999999
0.32789999999999997,-0.151,0.496
0.45199999999999996,-0.1,0.5449999999999999
0.45299999999999996,-0.0334,0.5780000000000001
0.52,-0.00421,0.46299999999999997
0.4315,-0.163,0.6
0.28559999999999997,-0.0539,0.396
0.486,-0.0655,0.43
0.3283,-0.0428,0.716
0.28709999999999997,0.155,0.365
0.46299999999999997,0.0806,0.372
0.491,-0.116,0.45399999999999996
0.243,0.0721,0.404
0.51,0.0101,0.491
0.524,-0.0128,0.444
0.3075,0.125,0.654
0.43779999999999997,-0.00973,0.372
0.37389999999999995,0.0072,0.3474
0.2532,0.103,0.486
0.4008,-0.0221,0.367
0.37229999999999996,0.169,0.69
0.3329,-0.202,0.591
0.3604,0.0559,0.5680000000000001
0.42919999999999997,0.0447,0.494
0.513,-0.0197,0.446
0.29469999999999996,-0.121,0.41500000000000004
0.2593,-0.113,0.517
0.19299999999999998,0.0766,0.483
0.31339999999999996,-0.0638,0.36
0.21999999999999997,0.0796,0.374
0.565,0.0466,0.46499999999999997
0.412,-0.127,0.475
0.3817,-0.132,0.433
0.21999999999999997,-0.00979,0.3361
0.4311,0.103,0.45699999999999996
0.18799999999999997,-0.0542,0.388
0.41569999999999996,0.0517,0.7090000000000001
0.4108,-0.109,0.538
0.174,-0.0156,0.599
0.44789999999999996,0.114,0.581
0.21199999999999997,-0.0216,0.45999999999999996
0.369,0.159,0.64
0.39099999999999996,0.17,0.3431
0.30589999999999995,0.141,0.605
0.3146,0.00306,0.3349
0.21499999999999997,0.18,0.5700000000000001
0.3853,-0.00681,0.31579999999999997
0.4462,-0.122,0.6990000000000001
0.39059999999999995,-0.0876,0.7
0.39909999999999995,-0.258,0.49
0.19599999999999998,-0.0394,0.517
0.21499999999999997,0.139,0.489
0.2607,0.0626,0.386
0.243,-0.163,0.37
0.2833,0.163,0.515
0.238,-0.0918,0.62
0.35724,-0.171,0.544
0.496,0.0975,0.488
0.285,0.0903,0.507
0.30069999999999997,-0.0427,0.364
0.31489999999999996,-0.0884,0.6990000000000001
0.27469999999999994,0.145,0.681
0.301,-0.083,0.511
0.2994,0.138,0.521
