q1,q2,q3,q4,q5,q6,x,y,z
-1.8302,1.9199,-0.51214,-1.3737,-0.96055,0,-0.044108,-0.39171,-0.12781
-0.31452,1.8311,-0.95964,-0.016462,-0.32109,0,0.54237,-0.17605,-0.0032208
-0.6103,-0.030424,0.22714,-0.00041695,0.057295,0,0.3043,-0.21282,0.55141
-2.2904,1.6506,-0.098776,-2.7925,1.5302,0,-0.29039,-0.29402,-0.033768
-0.18387,-1.8217,-1.9199,-7.5773e-05,0.76039,0,-0.53322,0.09916,0.0061869
0.21605,-1.9199,-0.0013052,-2.7925,1.7324,0,-0.46545,-0.12704,0.42348
2.5109,1.8996,0.35974,2.0951,-2.0944,0,-0.062237,0.11228,-0.027225
-0.31314,0.82447,0.23768,-0.003913,0.011811,0,0.41933,-0.13578,0.18034
-0.19929,-1.9199,0.15121,0.02203,0.4449,0,-0.35677,0.072754,0.54982
1.9736,0.35488,0.99782,0.22176,-0.99948,0,-0.10283,0.27534,0.23825
2.8798,1.4934,0.058163,0.61176,-2.0944,-3.1584,-0.3726,0.13691,0.047261
0.64369,-1.8457,-0.18226,-0.012823,0.048537,0,-0.3876,-0.29087,0.52285
-1.7258,1.8159,0.12601,-0.045894,-1.3755,0,-0.039758,-0.27551,-0.12094
-2.7495,1.9199,-0.81251,-1.2065,-1.4252,-3.7629,-0.41694,-0.24445,-0.039198
-0.26881,0.39494,0.53239,-0.0022339,0.10956,0,0.36415,-0.10033,0.27763
-0.90577,0.85819,-0.41923,-0.0037259,-0.14187,0,0.35563,-0.45344,0.38047
1.4229,0.29062,-0.14013,0.002223,-0.057294,0,0.067519,0.45313,0.56591
-0.023013,-1.9199,-1.6876,2.7925,1.9245,5.0521,-0.44065,0.033249,-0.046046
-2.4357,1.2932,-0.35599,-2.7925,2.0944,0,-0.41017,-0.3216,0.22575
0.16714,0.86947,-0.41438,0.0036194,-0.1432,0,0.5688,0.095926,0.37225
2.0993,1.0506,-0.8668,0.083826,-0.31097,0,-0.3087,0.53237,0.4469
-2.148,0.27412,0.15086,-0.13677,-0.035526,0,-0.24183,-0.37199,0.46182
-1.6634,-0.95522,1.2217,-0.95275,1.3786,0,-0.065841,-0.086103,0.39077
-0.13979,1.5633,-0.11394,-0.0072583,-0.1224,0,0.38961,-0.054756,-0.069143
